dataset,method,metric,n,seeds,mean,sample_sd,reported_ci_low,reported_ci_high,exact_bootstrap_ci_low,exact_bootstrap_ci_high,exact_ci_low_6dp,exact_ci_high_6dp,low_match_6dp,high_match_6dp,pair_match_6dp,low_difference_exact_minus_reported,high_difference_exact_minus_reported,ci_method
CSE-CIC-IDS2018,centralized,accuracy,10,42-51,0.999629778600492,3.1760349441286e-05,0.999611,0.999648,0.99961066753185,0.999647556338764,0.999611,0.999648,True,True,True,-3.32468150121557e-07,-4.43661236082527e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CSE-CIC-IDS2018,centralized,precision,10,42-51,0.998486529338407,0.00077252406322899,0.99802,0.998921,0.998019576150273,0.998921841139178,0.99802,0.998922,True,False,False,-4.23849727093639e-07,8.41139178420214e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CSE-CIC-IDS2018,centralized,recall,10,42-51,0.995418556240592,0.0011704420472546,0.994749,0.996118,0.994753525234013,0.99612088539322,0.994754,0.996121,False,False,False,4.52523401317517e-06,2.88539322013115e-06,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CSE-CIC-IDS2018,centralized,f1,10,42-51,0.996949356243219,0.000264090775851257,0.99679,0.997098,0.996790746235448,0.997098043115711,0.996791,0.997098,False,True,False,7.4623544843444e-07,4.31157110014624e-08,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CSE-CIC-IDS2018,centralized,roc_auc,10,42-51,0.999920434898412,2.77779813955838e-05,0.999903,0.999936,0.999903483018981,0.99993595666314,0.999903,0.999936,True,True,True,4.83018980812489e-07,-4.33368598784512e-08,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CSE-CIC-IDS2018,nondp,accuracy,10,42-51,0.999360445865676,9.25823122319707e-05,0.999307,0.999415,0.999306890429132,0.99941533463259,0.999307,0.999415,True,True,True,-1.09570867601327e-07,3.34632589749084e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CSE-CIC-IDS2018,nondp,precision,10,42-51,0.995857786022365,0.00168701225187067,0.994845,0.996808,0.99484076019733,0.996812493597679,0.994841,0.996812,False,False,False,-4.23980267028057e-06,4.4935976785121e-06,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CSE-CIC-IDS2018,nondp,recall,10,42-51,0.993612523681343,0.00118634072461453,0.992918,0.994308,0.992917839026661,0.994308217344198,0.992918,0.994308,True,True,True,-1.60973339324855e-07,2.17344198527591e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CSE-CIC-IDS2018,nondp,f1,10,42-51,0.994732491438095,0.000762756809606886,0.994292,0.995183,0.9942917207493,0.995184405613427,0.994292,0.995184,True,False,False,-2.79250700341294e-07,1.40561342731882e-06,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CSE-CIC-IDS2018,nondp,roc_auc,10,42-51,0.999734521192067,0.000111457623128992,0.999664,0.999794,0.999663653524004,0.999793666374639,0.999664,0.999794,True,True,True,-3.46475995671724e-07,-3.33625361226275e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CSE-CIC-IDS2018,dp,accuracy,10,42-51,0.998021337730361,0.000245537300770599,0.997884,0.99817,0.997883338037027,0.998170448510114,0.997883,0.99817,False,True,False,-6.61962973325103e-07,4.48510114381406e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
