dataset,seed,method,metric,value,source_summary
CSE-CIC-IDS2018,42,centralized,accuracy,0.9996466674518502,experiments/02_multiseed/results/CSECICIDS2018/seed_42/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,42,centralized,precision,0.9993390857352671,experiments/02_multiseed/results/CSECICIDS2018/seed_42/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,42,centralized,recall,0.9948461144820527,experiments/02_multiseed/results/CSECICIDS2018/seed_42/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,42,centralized,f1,0.9970875386954371,experiments/02_multiseed/results/CSECICIDS2018/seed_42/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,42,centralized,roc_auc,0.9999445215805975,experiments/02_multiseed/results/CSECICIDS2018/seed_42/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,42,nondp,accuracy,0.9994733345037011,experiments/02_multiseed/results/CSECICIDS2018/seed_42/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,42,nondp,precision,0.9968490089033818,experiments/02_multiseed/results/CSECICIDS2018/seed_42/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,42,nondp,recall,0.9944805906864537,experiments/02_multiseed/results/CSECICIDS2018/seed_42/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,42,nondp,f1,0.9956633913377614,experiments/02_multiseed/results/CSECICIDS2018/seed_42/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,42,nondp,roc_auc,0.999814296220416,experiments/02_multiseed/results/CSECICIDS2018/seed_42/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,42,dp,accuracy,0.9980000044444346,experiments/02_multiseed/results/CSECICIDS2018/seed_42/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,42,dp,precision,0.9868614750478434,experiments/02_multiseed/results/CSECICIDS2018/seed_42/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,42,dp,recall,0.9801520578989692,experiments/02_multiseed/results/CSECICIDS2018/seed_42/full_dp/global_ensemble_summary.json
