dataset,method,metric,n,mean,sd,ci95_low,ci95_high,ci_method
CICIoV2024,centralized,accuracy,10,0.9999891115498052,5.489207693554142e-06,0.999986,0.999992,Reported percentile-bootstrap 95% CI
CICIoV2024,centralized,f1,10,0.9999584402769207,2.095186144530329e-05,0.999946,0.999971,Reported percentile-bootstrap 95% CI
CICIoV2024,centralized,precision,10,0.999989158716392,2.439102911644891e-05,0.999975,1,Reported percentile-bootstrap 95% CI
CICIoV2024,centralized,recall,10,0.9999277247759468,3.8092387734503494e-05,0.999906,0.999949,Reported percentile-bootstrap 95% CI
CICIoV2024,centralized,roc_auc,10,0.9999999543459002,2.3235906340319138e-08,1,1,Reported percentile-bootstrap 95% CI
CICIoV2024,dp,accuracy,10,0.9998674449541501,0.0001518198825727126,0.999772,0.999952,Reported percentile-bootstrap 95% CI
CICIoV2024,dp,f1,10,0.9994945813535757,0.000578694228337074,0.999132,0.999816,Reported percentile-bootstrap 95% CI
CICIoV2024,dp,precision,10,0.9990768266528871,0.0011459287784449125,0.99836,0.999715,Reported percentile-bootstrap 95% CI
CICIoV2024,dp,recall,10,0.9999132697311361,4.878205823289782e-05,0.999884,0.999942,Reported percentile-bootstrap 95% CI
CICIoV2024,dp,roc_auc,10,0.9999956744364534,4.919890310138999e-06,0.999993,0.999998,Reported percentile-bootstrap 95% CI
CICIoV2024,nondp,accuracy,10,0.9999872179062931,5.489207693550951e-06,0.999984,0.99999,Reported percentile-bootstrap 95% CI
CICIoV2024,nondp,f1,10,0.9999512114484905,2.0953112963481093e-05,0.999939,0.999962,Reported percentile-bootstrap 95% CI
CICIoV2024,nondp,precision,10,1.0,0.0,1,1,Reported percentile-bootstrap 95% CI
CICIoV2024,nondp,recall,10,0.9999024284475282,4.1901626507953844e-05,0.999877,0.999924,Reported percentile-bootstrap 95% CI
CICIoV2024,nondp,roc_auc,10,0.9999999399547199,2.3577843539761728e-08,1,1,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,centralized,accuracy,10,0.999629778600492,3.176034944126597e-05,0.999611,0.999648,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,centralized,f1,10,0.9969493562432191,0.00026409077585125317,0.99679,0.997098,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,centralized,precision,10,0.9984865293384072,0.000772524063228981,0.99802,0.998921,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,centralized,recall,10,0.9954185562405917,0.001170442047254606,0.994749,0.996118,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,centralized,roc_auc,10,0.9999204348984124,2.7777981395621844e-05,0.999903,0.999936,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,dp,accuracy,10,0.9980213377303606,0.00024553730077062877,0.997884,0.99817,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,dp,f1,10,0.9835967007509285,0.0020531269736517982,0.98244,0.984836,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,dp,precision,10,0.9911456353092114,0.0050593751314953255,0.988044,0.993976,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,dp,recall,10,0.9762062756050655,0.005645681700814923,0.972933,0.979526,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,dp,roc_auc,10,0.9992720298006892,0.00033428631936703194,0.999054,0.999439,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,nondp,accuracy,10,0.9993604458656759,9.258231223197458e-05,0.999307,0.999415,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,nondp,f1,10,0.9947324914380946,0.0007627568096068858,0.994292,0.995183,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,nondp,precision,10,0.9958577860223646,0.0016870122518706995,0.994845,0.996808,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,nondp,recall,10,0.9936125236813428,0.001186340724614526,0.992918,0.994308,Reported percentile-bootstrap 95% CI
CSE-CIC-IDS2018,nondp,roc_auc,10,0.999734521192067,0.00011145762312897396,0.999664,0.999794,Reported percentile-bootstrap 95% CI
