protocol,evaluation_id,transition,prior_block,test_block,earlier_history_blocks,adaptation_fraction_requested,adaptation_rows,calibration_rows_from_prior_block,adaptation_actual_fraction,attack_type,endpoint,rows,recall,hash_seen_in_train_rows,hash_novel_to_train_rows,hash_seen_recall,hash_novel_recall,score_q10,score_median,score_q90
adaptive_supervised_refresh,adaptive_test_B2,B1->B2,1,2,none,0.7,210000,90000,0.7,DOS GOLDENEYE,novel_temporal,1074,1.0,0,1074,,1.0,0.3173576891422272,0.3173576891422272,0.32675477862358093
adaptive_supervised_refresh,adaptive_test_B2,B1->B2,1,2,none,0.7,210000,90000,0.7,DOS GOLDENEYE - ATTEMPTED,novel_temporal,199,1.0,0,199,,1.0,0.3173576891422272,0.3173576891422272,0.3278753459453583
adaptive_supervised_refresh,adaptive_test_B2,B1->B2,1,2,none,0.7,210000,90000,0.7,DOS SLOWLORIS,novel_temporal,427,0.5245901639344263,0,427,,0.5245901639344263,0.05572960898280144,0.3173576891422272,0.32675477862358093
adaptive_supervised_refresh,adaptive_test_B2,B1->B2,1,2,none,0.7,210000,90000,0.7,DOS SLOWLORIS - ATTEMPTED,novel_temporal,107,1.0,0,107,,1.0,0.3173576891422272,0.3173576891422272,0.3173576891422272
adaptive_supervised_refresh,adaptive_test_B2,B1->B2,1,2,none,0.7,210000,90000,0.7,FTP-BRUTEFORCE - ATTEMPTED,seen_temporal,2360,1.0,320,2040,1.0,1.0,0.985541045665741,0.9880459308624268,0.9880459308624268
adaptive_supervised_refresh,adaptive_test_B3,B2->B3,2,3,B1-B1,0.7,210000,90000,0.7,DOS HULK,novel_temporal,85556,1.0,0,85556,,1.0,0.9897017478942871,0.9929007291793823,0.9953200221061707
adaptive_supervised_refresh,adaptive_test_B3,B2->B3,2,3,B1-B1,0.7,210000,90000,0.7,DOS HULK - ATTEMPTED,novel_temporal,4,1.0,0,4,,1.0,0.9099853515625,0.9954898953437805,0.9954898953437805
adaptive_supervised_refresh,adaptive_test_B3,B2->B3,2,3,B1-B1,0.7,210000,90000,0.7,FTP-BRUTEFORCE - ATTEMPTED,seen_temporal,2676,1.0,328,2348,1.0,1.0,0.9935181736946106,0.9980394244194031,0.9980394244194031
adaptive_supervised_refresh,adaptive_test_B4,B3->B4,3,4,B1-B2,0.7,210000,90000,0.7,DDOS-LOIC-HTTP,novel_temporal,13731,0.0,0,13731,,0.0,0.0024963240139186382,0.002639081096276641,0.002639081096276641
adaptive_supervised_refresh,adaptive_test_B4,B3->B4,3,4,B1-B2,0.7,210000,90000,0.7,DDOS-LOIC-UDP,novel_temporal,41,0.0,0,41,,0.0,0.002579014515504241,0.002579014515504241,0.003066091798245907
adaptive_supervised_refresh,adaptive_test_B4,B3->B4,3,4,B1-B2,0.7,210000,90000,0.7,DDOS-LOIC-UDP - ATTEMPTED,novel_temporal,5,0.0,0,5,,0.0,0.0028734188061207535,0.0030911522917449474,0.0030911522917449474
adaptive_supervised_refresh,adaptive_test_B5,B4->B5,4,5,B1-B3,0.7,210000,90000,0.7,DDOS-HOIC,novel_temporal,51349,1.0,0,51349,,1.0,0.6555712223052979,0.7395477890968323,0.7395477890968323
adaptive_supervised_refresh,adaptive_test_B5,B4->B5,4,5,B1-B3,0.7,210000,90000,0.7,DDOS-LOIC-UDP,seen_temporal,80,1.0,0,80,,1.0,0.03398553654551506,0.03398553654551506,0.03398553654551506
adaptive_supervised_refresh,adaptive_test_B5,B4->B5,4,5,B1-B3,0.7,210000,90000,0.7,DDOS-LOIC-UDP - ATTEMPTED,seen_temporal,8,0.0,0,8,,0.0,0.011237284168601036,0.011237284168601036,0.011237284168601036
adaptive_supervised_refresh,adaptive_test_B6,B5->B6,5,6,B1-B4,0.7,210000,90000,0.7,WEB ATTACK - BRUTE FORCE,novel_temporal,1,1.0,0,1,,1.0,0.016066938638687134,0.016066938638687134,0.016066938638687134
adaptive_supervised_refresh,adaptive_test_B6,B5->B6,5,6,B1-B4,0.7,210000,90000,0.7,WEB ATTACK - BRUTE FORCE - ATTEMPTED,novel_temporal,6,0.6666666666666666,0,6,,0.6666666666666666,0.00684328144416213,0.013854393735527992,0.01914286706596613
adaptive_supervised_refresh,adaptive_test_B6,B5->B6,5,6,B1-B4,0.7,210000,90000,0.7,WEB ATTACK - SQL,novel_temporal,1,0.0,0,1,,0.0,0.007524477317929268,0.007524477317929268,0.007524477317929268
adaptive_supervised_refresh,adaptive_test_B6,B5->B6,5,6,B1-B4,0.7,210000,90000,0.7,WEB ATTACK - XSS,novel_temporal,1,1.0,0,1,,1.0,0.0170317180454731,0.0170317180454731,0.0170317180454731
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,WEB ATTACK - BRUTE FORCE,seen_temporal,4,1.0,0,4,,1.0,0.043880265578627585,0.05110862851142883,0.05110862851142883
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,WEB ATTACK - BRUTE FORCE - ATTEMPTED,seen_temporal,2,0.0,0,2,,0.0,0.006780526740476489,0.011554656317457557,0.016328785894438626
