protocol,evaluation_id,fold,train_blocks,calibration_block,test_block,category,n,q01,q10,q50,q90,q99
strict_nonadaptive,strict_test_B6,1,B1-B4,5,6,calibration_benign,248563,0.0004606416914612055,0.0006505238125100732,0.0011126608587801456,0.0033486199099570513,0.015469443053007126
strict_nonadaptive,strict_test_B6,1,B1-B4,5,6,calibration_attack,51437,0.5517727732658386,0.5831947326660156,0.6760991215705872,0.6760991215705872,0.6805277466773987
strict_nonadaptive,strict_test_B6,1,B1-B4,5,6,test_benign,299991,0.00044019120396114896,0.0006505238125100732,0.0011484682327136397,0.0038651661016047,0.016064291819930077
strict_nonadaptive,strict_test_B6,1,B1-B4,5,6,test_seen_attack,0,,,,,
strict_nonadaptive,strict_test_B6,1,B1-B4,5,6,test_novel_attack,9,0.0033309527207165956,0.0033309527207165956,0.011125469580292702,0.015609078481793404,0.0158224830776453
strict_nonadaptive,strict_test_B7,2,B1-B5,6,7,calibration_benign,299991,0.00017936011136043817,0.000280578009551391,0.0004976686905138195,0.0024827916640788317,0.01743382401764393
strict_nonadaptive,strict_test_B7,2,B1-B5,6,7,calibration_attack,9,0.0031105931848287582,0.0031105931848287582,0.020052805542945862,0.03989983275532723,0.05016106322407722
strict_nonadaptive,strict_test_B7,2,B1-B5,6,7,test_benign,299989,0.00017936011136043817,0.000280578009551391,0.0004976686905138195,0.002604256384074688,0.018695257008075526
strict_nonadaptive,strict_test_B7,2,B1-B5,6,7,test_seen_attack,0,,,,,
strict_nonadaptive,strict_test_B7,2,B1-B5,6,7,test_novel_attack,11,0.003366165608167648,0.005666317418217659,0.037049490958452225,0.051301199942827225,0.07363395951688291
strict_nonadaptive,strict_test_B8,3,B1-B6,7,8,calibration_benign,299989,0.0001194194337585941,0.00022716571402270347,0.00044768291991204023,0.002196431625634432,0.012022684328258038
strict_nonadaptive,strict_test_B8,3,B1-B6,7,8,calibration_attack,11,0.003217117441818118,0.0052160886116325855,0.03767316788434982,0.05157867446541786,0.05157867446541786
strict_nonadaptive,strict_test_B8,3,B1-B6,7,8,test_benign,297641,0.00012026620534015824,0.00023652156232856214,0.000471878913231194,0.0021995457354933023,0.03330708667635918
strict_nonadaptive,strict_test_B8,3,B1-B6,7,8,test_seen_attack,0,,,,,
strict_nonadaptive,strict_test_B8,3,B1-B6,7,8,test_novel_attack,2359,0.00021680833131540572,0.0009713364415802062,0.0018273071618750691,0.002807741053402424,0.34667696595192377
strict_nonadaptive,strict_test_B9,4,B1-B7,8,9,calibration_benign,297641,0.00010775632108561695,0.00018441387510392815,0.0004235967353451997,0.0016118682688102126,0.03283887356519699
strict_nonadaptive,strict_test_B9,4,B1-B7,8,9,calibration_attack,2359,0.00020200943923555316,0.0006379979313351214,0.0013017066521570086,0.0018315466586500406,0.3733550769090782
strict_nonadaptive,strict_test_B9,4,B1-B7,8,9,test_benign,298165,0.00010775632108561695,0.00018606211233418435,0.00043644628021866083,0.001484456704929471,0.008164671733975044
strict_nonadaptive,strict_test_B9,4,B1-B7,8,9,test_seen_attack,0,,,,,
strict_nonadaptive,strict_test_B9,4,B1-B7,8,9,test_novel_attack,1835,0.0001806508912704885,0.0006379979313351214,0.0013017066521570086,0.0018315466586500406,0.21232845157384922
strict_nonadaptive,strict_test_B10,5,B1-B8,9,10,calibration_benign,298165,0.00012147329834988341,0.0002187311911256984,0.000496089574880898,0.0023139589466154575,0.023456616327166557
strict_nonadaptive,strict_test_B10,5,B1-B8,9,10,calibration_attack,1835,0.008120808731764555,0.7454696893692017,0.9802701473236084,0.9909862279891968,0.9971402883529663
strict_nonadaptive,strict_test_B10,5,B1-B8,9,10,test_benign,293187,0.0001214862713823095,0.0002212422841694206,0.00048559511196799576,0.0023545227013528347,0.023456616327166557
strict_nonadaptive,strict_test_B10,5,B1-B8,9,10,test_seen_attack,0,,,,,
strict_nonadaptive,strict_test_B10,5,B1-B8,9,10,test_novel_attack,6813,0.004411771893501282,0.006343263201415539,0.009354855865240097,0.014670565724372864,0.0170165803283453
