protocol,evaluation_id,fold,train_blocks,calibration_block,test_block,target_development_fpr,threshold,seen_attack_rows,seen_temporal_recall,seen_temporal_precision,seen_temporal_f1,seen_temporal_test_fpr,combined_recall,combined_test_fpr
strict_nonadaptive,strict_test_B6,1,B1-B4,5,6,0.001,0.23105554282665255,0,,,,,0.0,0.0009300279008370251
strict_nonadaptive,strict_test_B6,1,B1-B4,5,6,0.005,0.04042706266045571,0,,,,,0.0,0.004606804870812791
strict_nonadaptive,strict_test_B6,1,B1-B4,5,6,0.01,0.015469443053007128,0,,,,,0.2222222222222222,0.010726988476320956
strict_nonadaptive,strict_test_B6,1,B1-B4,5,6,0.02,0.00957383867353201,0,,,,,0.7777777777777778,0.017833868349383816
strict_nonadaptive,strict_test_B6,1,B1-B4,5,6,0.05,0.005167792551219464,0,,,,,0.7777777777777778,0.05536499428316183
strict_nonadaptive,strict_test_B7,2,B1-B5,6,7,0.001,0.5178558230400087,0,,,,,0.0,0.0008700319011697096
strict_nonadaptive,strict_test_B7,2,B1-B5,6,7,0.005,0.040196161717176444,0,,,,,0.45454545454545453,0.005626872985342796
strict_nonadaptive,strict_test_B7,2,B1-B5,6,7,0.01,0.017433824017643932,0,,,,,0.7272727272727273,0.010443716269596552
strict_nonadaptive,strict_test_B7,2,B1-B5,6,7,0.02,0.007197456434369088,0,,,,,0.8181818181818182,0.020887432539193104
strict_nonadaptive,strict_test_B7,2,B1-B5,6,7,0.05,0.003847173415124417,0,,,,,0.9090909090909091,0.05257526109290674
strict_nonadaptive,strict_test_B8,3,B1-B6,7,8,0.001,0.45288932323455816,0,,,,,0.009749894022891056,0.004055220886907382
strict_nonadaptive,strict_test_B8,3,B1-B6,7,8,0.005,0.031561430543661124,0,,,,,0.06061890631623569,0.010133012588991436
strict_nonadaptive,strict_test_B8,3,B1-B6,7,8,0.01,0.01202268432825804,0,,,,,0.0665536244171259,0.01701042531102906
strict_nonadaptive,strict_test_B8,3,B1-B6,7,8,0.02,0.0061435867100954064,0,,,,,0.07333615938957186,0.02721399269589875
strict_nonadaptive,strict_test_B8,3,B1-B6,7,8,0.05,0.0034233513288199906,0,,,,,0.0953793980500212,0.05498906400663887
strict_nonadaptive,strict_test_B9,4,B1-B7,8,9,0.001,0.9387586116790773,0,,,,,0.0032697547683923707,2.0123086210655175e-05
strict_nonadaptive,strict_test_B9,4,B1-B7,8,9,0.005,0.43694344162940985,0,,,,,0.008719346049046322,0.0004460617443361897
strict_nonadaptive,strict_test_B9,4,B1-B7,8,9,0.01,0.032838873565197,0,,,,,0.03487738419618529,0.0021632317676454314
strict_nonadaptive,strict_test_B9,4,B1-B7,8,9,0.02,0.0074432035908103,0,,,,,0.05286103542234333,0.010510958697365553
strict_nonadaptive,strict_test_B9,4,B1-B7,8,9,0.05,0.002835146384313703,0,,,,,0.08119891008174387,0.03845857159626381
strict_nonadaptive,strict_test_B10,5,B1-B8,9,10,0.001,0.34554010629653936,0,,,,,0.0020548950535740494,0.0008220009754866349
strict_nonadaptive,strict_test_B10,5,B1-B8,9,10,0.005,0.04301050305366517,0,,,,,0.0020548950535740494,0.0052764958882897265
strict_nonadaptive,strict_test_B10,5,B1-B8,9,10,0.01,0.02345661632716656,0,,,,,0.007192132687509173,0.009949281516574746
strict_nonadaptive,strict_test_B10,5,B1-B8,9,10,0.02,0.012862718664109709,0,,,,,0.32423308381036253,0.020181658804790118
strict_nonadaptive,strict_test_B10,5,B1-B8,9,10,0.05,0.005432494916021825,0,,,,,0.9089975047702921,0.052352252998939246
