attack_type,total_rows,first_timestamp,last_timestamp,first_block,last_block,blocks_present,B1_rows,B2_rows,B3_rows,B4_rows,B5_rows,B6_rows,B7_rows,B8_rows,B9_rows,B10_rows
BOTNET ARES,6799,2018-03-02 14:14:32.901035,2018-03-02 19:53:44.244874,10,10,1,0,0,0,0,0,0,0,0,0,6799
BOTNET ARES - ATTEMPTED,14,2018-03-02 19:53:49.154518,2018-03-02 19:54:17.371582,10,10,1,0,0,0,0,0,0,0,0,0,14
DDOS-HOIC,51349,2018-02-21 18:11:09.083274,2018-02-21 19:05:53.111337,5,5,1,0,0,0,0,51349,0,0,0,0,0
DDOS-LOIC-HTTP,13731,2018-02-20 14:13:56.669565,2018-02-20 15:16:48.114649,4,4,1,0,0,0,13731,0,0,0,0,0,0
DDOS-LOIC-UDP,121,2018-02-20 17:14:26.853603,2018-02-21 14:43:01.934404,4,5,2,0,0,0,41,80,0,0,0,0,0
DDOS-LOIC-UDP - ATTEMPTED,13,2018-02-20 17:19:01.995716,2018-02-21 14:41:26.760230,4,5,2,0,0,0,5,8,0,0,0,0,0
DOS GOLDENEYE,1074,2018-02-15 13:27:46.814538,2018-02-15 13:57:10.234940,2,2,1,0,1074,0,0,0,0,0,0,0,0
DOS GOLDENEYE - ATTEMPTED,199,2018-02-15 13:27:42.467381,2018-02-15 13:57:09.551670,2,2,1,0,199,0,0,0,0,0,0,0,0
DOS HULK,85556,2018-02-16 17:45:27.847214,2018-02-16 17:58:22.100140,3,3,1,0,0,85556,0,0,0,0,0,0,0
DOS HULK - ATTEMPTED,4,2018-02-16 17:58:19.227341,2018-02-16 17:58:22.121609,3,3,1,0,0,4,0,0,0,0,0,0,0
DOS SLOWLORIS,427,2018-02-15 15:00:12.567685,2018-02-15 15:41:31.933937,2,2,1,0,427,0,0,0,0,0,0,0,0
DOS SLOWLORIS - ATTEMPTED,107,2018-02-15 15:00:12.655326,2018-02-15 15:40:42.159663,2,2,1,0,107,0,0,0,0,0,0,0,0
FTP-BRUTEFORCE - ATTEMPTED,14243,2018-02-14 14:33:27.322384,2018-02-16 15:05:11.979972,1,3,3,9207,2360,2676,0,0,0,0,0,0,0
INFILTRATION - COMMUNICATION VICTIM ATTACKER,6,2018-02-28 15:19:37.441124,2018-03-01 18:46:58.659477,8,9,2,0,0,0,0,0,0,0,3,3,0
INFILTRATION - DROPBOX DOWNLOAD,2,2018-02-28 14:43:05.635042,2018-03-01 14:09:59.631122,8,9,2,0,0,0,0,0,0,0,1,1,0
INFILTRATION - NMAP PORTSCAN,4186,2018-02-28 14:46:50.369487,2018-03-01 19:37:45.852156,8,9,2,0,0,0,0,0,0,0,2355,1831,0
SSH-BRUTEFORCE,4531,2018-02-14 18:01:51.144407,2018-02-14 19:32:28.534278,1,1,1,4531,0,0,0,0,0,0,0,0,0
WEB ATTACK - BRUTE FORCE,5,2018-02-22 14:55:06.692122,2018-02-23 15:00:00.519742,6,7,2,0,0,0,0,0,1,4,0,0,0
WEB ATTACK - BRUTE FORCE - ATTEMPTED,8,2018-02-22 14:17:51.513450,2018-02-23 14:51:20.357444,6,7,2,0,0,0,0,0,6,2,0,0,0
WEB ATTACK - SQL,2,2018-02-22 20:20:54.257210,2018-02-23 19:16:01.019102,6,7,2,0,0,0,0,0,1,1,0,0,0
WEB ATTACK - SQL - ATTEMPTED,1,2018-02-23 19:15:00.737556,2018-02-23 19:15:00.737556,7,7,1,0,0,0,0,0,0,1,0,0,0
WEB ATTACK - XSS,4,2018-02-22 18:11:35.456838,2018-02-23 18:10:05.155421,6,7,2,0,0,0,0,0,1,3,0,0,0
