block,start_row,stop_row_exclusive,rows,benign_rows,attack_rows,attack_type_count,attack_types,start_timestamp,end_timestamp,distinct_timestamps
1,0,300000,300000,286262,13738,2,FTP-BRUTEFORCE - ATTEMPTED | SSH-BRUTEFORCE,2018-02-14 12:28:11.768711,2018-02-15 13:03:13.761064,299996
2,300000,600000,300000,295833,4167,5,DOS GOLDENEYE | DOS GOLDENEYE - ATTEMPTED | DOS SLOWLORIS | DOS SLOWLORIS - ATTEMPTED | FTP-BRUTEFORCE - ATTEMPTED,2018-02-15 13:03:13.779084,2018-02-16 14:37:49.825970,299998
3,600000,900000,300000,211764,88236,3,DOS HULK | DOS HULK - ATTEMPTED | FTP-BRUTEFORCE - ATTEMPTED,2018-02-16 14:37:49.867105,2018-02-20 12:50:22.166829,299999
4,900000,1200000,300000,286223,13777,3,DDOS-LOIC-HTTP | DDOS-LOIC-UDP | DDOS-LOIC-UDP - ATTEMPTED,2018-02-20 12:50:22.230324,2018-02-21 13:07:33.509229,299999
5,1200000,1500000,300000,248563,51437,3,DDOS-HOIC | DDOS-LOIC-UDP | DDOS-LOIC-UDP - ATTEMPTED,2018-02-21 13:07:33.521374,2018-02-21 21:18:00.975171,299998
6,1500000,1800000,300000,299991,9,4,WEB ATTACK - BRUTE FORCE | WEB ATTACK - BRUTE FORCE - ATTEMPTED | WEB ATTACK - SQL | WEB ATTACK - XSS,2018-02-21 21:18:01.516644,2018-02-23 12:23:58.329045,299999
7,1800000,2100000,300000,299989,11,5,WEB ATTACK - BRUTE FORCE | WEB ATTACK - BRUTE FORCE - ATTEMPTED | WEB ATTACK - SQL | WEB ATTACK - SQL - ATTEMPTED | WEB ATTACK - XSS,2018-02-23 12:23:58.678035,2018-02-28 12:51:31.023940,299999
8,2100000,2400000,300000,297641,2359,3,INFILTRATION - COMMUNICATION VICTIM ATTACKER | INFILTRATION - DROPBOX DOWNLOAD | INFILTRATION - NMAP PORTSCAN,2018-02-28 12:51:31.106671,2018-03-01 12:31:08.747427,299998
9,2400000,2700000,300000,298165,1835,3,INFILTRATION - COMMUNICATION VICTIM ATTACKER | INFILTRATION - DROPBOX DOWNLOAD | INFILTRATION - NMAP PORTSCAN,2018-03-01 12:31:08.749266,2018-03-01 22:04:29.763131,299996
10,2700000,3000000,300000,293187,6813,2,BOTNET ARES | BOTNET ARES - ATTEMPTED,2018-03-01 22:04:35.424320,2018-03-03 00:38:37.344583,299999
