protocol,evaluation_id,split_contract,cut70_row,cut85_row,train_rows,calibration_rows,test_rows,train_fraction,calibration_fraction,test_fraction,timestamp_safe,target_development_fpr,threshold,seen_attack_rows,seen_temporal_recall,seen_temporal_precision,seen_temporal_f1,seen_temporal_test_fpr,combined_recall,combined_test_fpr,category,n,q01,q10,q50,q90,q99
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,0.001,0.9209490418434144,0.0,,,,,0.0003968253968253968,2.4862128198173763e-05,,,,,,,
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,0.005,0.14030539989471438,0.0,,,,,0.001455026455026455,0.0011097549950275743,,,,,,,
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,0.01,0.017330838367342952,0.0,,,,,0.005555555555555556,0.004411897658439562,,,,,,,
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,0.02,0.00604712637141347,0.0,,,,,0.007275132275132275,0.015995389205315975,,,,,,,
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,0.05,0.0028240680694580082,0.0,,,,,0.010846560846560847,0.044916824880209746,,,,,,,
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,,,,,,,,,,calibration_benign,446553.0,0.00010775632108561695,0.00018452749645803124,0.00042811682214960456,0.0015669000567868352,0.01733083836734295
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,,,,,,,,,,calibration_attack,3447.0,0.00020075813547009602,0.0006379979313351214,0.0013017066521570086,0.0018315466586500406,0.23673349618911743
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,,,,,,,,,,test_benign,442440.0,0.00010775632108561695,0.00018606211233418435,0.00044191861525177956,0.0015191460261121392,0.010082244873046875
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,,,,,,,,,,test_seen_attack,0.0,,,,,
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,,,,,,,,,,test_novel_attack,7560.0,0.0006379979313351214,0.0008188019855879247,0.00135989289265126,0.002349799731746316,0.003271493476349835
